year,date,time,id,reason,knock_and_announce,method,full_address,Zip,Latitude,Longitude
2019,2019-09-04,17:20,8019065461,Search Warrant,Announce Only,Ram,4535 Picadilly Ave,40215,38.184068,-85.777651
2019,2019-09-04,17:30,8019065461,Search Warrant,Announce Only,Ram,4535 Picadilly Ave,40215,38.184068,-85.777651
2019,2019-09-05,14:00,8019065701,Search Warrant,Not Available,Not Available,4430 S 6th St.,40214,38.190722,-85.770225
2019,2019-09-05,19:30,8019065798,Search Warrant,Yes,Ram,Saunders Ct.,40211,38.245513,-85.791479
2019,2019-09-11,15:00,8019067288,Search Warrant,Yes,Pick and Ram,2230 Portalnd Ave,40212,38.269278,-85.785638
2019,2019-09-19,11:43,8019065398,Search Warrant,Not Available,Not Available,Zabel Way,40291,38.174313,-85.595497
2019,2019-09-19,22:30,8019069593,Search Warrant,Announce Only,Ram,2223 W Madison St.,40211,38.253939,-85.788425
2019,2019-09-24,14:45,8019070878,Search Warrant,Announce Only,Ram,1145 Delor Ave.,40217,38.219418,-85.740116
2019,2019-09-24,15:00,8019070903,Search Warrant,Yes,Ram,3103 Lake Heath Dr.,40213,38.170627,-85.701977
2019,2019-09-26,11:00,8019071419,Search Warrant,Yes,Ram and Flash bang,1613 Prentice St,40210,38.240888,-85.78097
2019,2019-10-01,15:00,8019072752,Search Warrant,Yes,Ram,162 Gillette Ave.,40214,38.185387,-85.758929
2019,2019-10-01,22:50,8019072933,Search Warrant,Yes,Ram,Redcrest Dr.,40165,38.005151,-85.721353
2019,2019-10-02,14:30,8019073113,Search Warrant,Yes,Ram,Dumesnil St.,40211,38.237162,-85.803266
2019,2019-10-02,19:30,8019073197,Search Warrant,Not Available,Ram,N 19th St.,40203,38.249273,-85.769412
2019,2019-10-09,22:09,8019075025,Search Warrant,Yes,Ram,2309 Burrell Dr.,40216,38.197971,-85.824095
2019,2019-10-16,22:14,8019076822,Search Warrant,No,Bearcat and Ram,502 N 32nd St.,40212,38.266331,-85.80416
2019,2019-10-18,14:00,8019077012,Search Warrant,No,Ram,6632 Vandre Ave.,40228,38.13533,-85.637777
2019,2019-10-22,20:00,8019078297,Search Warrant,Yes,Ram,2022 W Main St.,40203,38.259464,-85.784212
2019,2019-10-23,20:56,8019078591,Search Warrant,No,"ram, raking",2427 W Broadway,40211,38.249666,-85.79277
2019,2019-10-28,16:55,8019079911,Search Warrant,Yes,Ram,Algonquin Pkwy,40210,38.222883,-85.790563
2019,2019-10-29,18:50,8019080261,Search Warrant,Yes,Ram,Kremer Ave.,40213,38.171696,-85.702915
2019,2019-10-30,14:30,8019080393,Search Warrant,Announce Only,Ram,109 W Kenton St.,40214,38.198416,-85.762524
2019,2019-11-07,12:40,8019082573,Search Warrant,Yes,Ram,3608 Wheeler Ave,40215,38.193842,-85.788657
2019,2019-11-15,15:20,8019084640,Search Warrant,Yes,Ram,2711 Allston Ave.,40210,38.220524,-85.803912
2019,2019-11-19,22:42,8019085825,Search Warrant,Yes,Not Available,S 11th St.,40203,38.249273,-85.769412
2019,2019-11-21,14:04,8019086029,Search Warrant,Yes,Pick and Ram,726 Creel Ave.,40208,38.213589,-85.771147
2019,2019-11-25,16:47,8019087402,Emergency Enter,Not Available,Kick,Roxanne Blvd,40228,38.180395,-85.6275
